index_code,con_code,trade_date,weight
399300.SZ,600004.SH,20200102,0.1297
399300.SZ,601198.SH,20200102,0.1291
399300.SZ,603899.SH,20200102,0.1275
399300.SZ,600362.SH,20200102,0.1272
399300.SZ,600674.SH,20200102,0.1246
399300.SZ,002673.SZ,20200102,0.1228
399300.SZ,002146.SZ,20200102,0.1223
399300.SZ,600583.SH,20200102,0.1215
399300.SZ,600208.SH,20200102,0.1197
399300.SZ,000656.SZ,20200102,0.1192
399300.SZ,002508.SZ,20200102,0.1172
399300.SZ,601838.SH,20200102,0.117
399300.SZ,000423.SZ,20200102,0.1164
399300.SZ,600023.SH,20200102,0.1162
399300.SZ,601021.SH,20200102,0.1162
399300.SZ,600219.SH,20200102,0.116
399300.SZ,002601.SZ,20200102,0.1155
399300.SZ,601117.SH,20200102,0.1151
399300.SZ,601881.SH,20200102,0.115
399300.SZ,000703.SZ,20200102,0.1149
399300.SZ,600170.SH,20200102,0.1141
399300.SZ,000596.SZ,20200102,0.113
399300.SZ,002739.SZ,20200102,0.113
399300.SZ,300024.SZ,20200102,0.1118
399300.SZ,600085.SH,20200102,0.1102
399300.SZ,601018.SH,20200102,0.1092
399300.SZ,002916.SZ,20200102,0.1083
399300.SZ,300070.SZ,20200102,0.1073
399300.SZ,002252.SZ,20200102,0.1071
399300.SZ,000413.SZ,20200102,0.1064
399300.SZ,601878.SH,20200102,0.1064
399300.SZ,000630.SZ,20200102,0.1058
399300.SZ,002081.SZ,20200102,0.1055
399300.SZ,603833.SH,20200102,0.1052
399300.SZ,600489.SH,20200102,0.1051
399300.SZ,600369.SH,20200102,0.1044
399300.SZ,600535.SH,20200102,0.101
399300.SZ,600038.SH,20200102,0.1008
399300.SZ,601066.SH,20200102,0.1001
399300.SZ,000627.SZ,20200102,0.0996
399300.SZ,000671.SZ,20200102,0.0995
399300.SZ,600482.SH,20200102,0.0978
399300.SZ,600760.SH,20200102,0.0956
399300.SZ,600153.SH,20200102,0.0919
399300.SZ,002032.SZ,20200102,0.0915
399300.SZ,600118.SH,20200102,0.0912
399300.SZ,002153.SZ,20200102,0.0911
399300.SZ,601992.SH,20200102,0.0905
399300.SZ,000629.SZ,20200102,0.0904
399300.SZ,002607.SZ,20200102,0.0887
399300.SZ,600655.SH,20200102,0.0886
399300.SZ,603156.SH,20200102,0.0886
399300.SZ,600027.SH,20200102,0.0863
399300.SZ,600663.SH,20200102,0.0858
399300.SZ,600977.SH,20200102,0.0857
399300.SZ,002938.SZ,20200102,0.0836
399300.SZ,300433.SZ,20200102,0.0833
399300.SZ,000723.SZ,20200102,0.0816
399300.SZ,002558.SZ,20200102,0.0811
399300.SZ,601808.SH,20200102,0.0809
399300.SZ,601238.SH,20200102,0.0794
399300.SZ,601633.SH,20200102,0.0794
399300.SZ,000709.SZ,20200102,0.0793
399300.SZ,600297.SH,20200102,0.0787
399300.SZ,601216.SH,20200102,0.0768
399300.SZ,600398.SH,20200102,0.0756
399300.SZ,002773.SZ,20200102,0.0711
399300.SZ,600848.SH,20200102,0.0703
399300.SZ,600816.SH,20200102,0.0698
399300.SZ,601360.SH,20200102,0.0697
399300.SZ,002411.SZ,20200102,0.0696
399300.SZ,600188.SH,20200102,0.0674
399300.SZ,601577.SH,20200102,0.0668
399300.SZ,601898.SH,20200102,0.0661
399300.SZ,002010.SZ,20200102,0.0661
399300.SZ,002294.SZ,20200102,0.0605
399300.SZ,600733.SH,20200102,0.0598
399300.SZ,601319.SH,20200102,0.059
399300.SZ,000898.SZ,20200102,0.0577
399300.SZ,600566.SH,20200102,0.0568
399300.SZ,600998.SH,20200102,0.0564
399300.SZ,600989.SH,20200102,0.0553
399300.SZ,600025.SH,20200102,0.0549
399300.SZ,600372.SH,20200102,0.0548
399300.SZ,600233.SH,20200102,0.052
399300.SZ,000415.SZ,20200102,0.0507
399300.SZ,601236.SH,20200102,0.048
399300.SZ,002841.SZ,20200102,0.0443
399300.SZ,600968.SH,20200102,0.0432
399300.SZ,002468.SZ,20200102,0.0431
399300.SZ,601212.SH,20200102,0.0391
399300.SZ,002939.SZ,20200102,0.0338
399300.SZ,601698.SH,20200102,0.0331
