ts_code,trade_date,turnover_rate,pe,pb,total_mv,circ_mv
000333.SZ,20200624,0.2923802704646827,,,1.985,1.985
000333.SZ,20200629,0.3810364727661864,,,1.985,1.985
000333.SZ,20200630,0.38131411155817757,,,1.985,1.985
000333.SZ,20200701,0.6453989989282762,,,1.985,1.985
000333.SZ,20200702,0.6346840374561535,,,1.985,1.985
000333.SZ,20200703,0.4969407801755045,,,1.985,1.985
000333.SZ,20200706,0.8738183452921237,,,1.985,1.985
000333.SZ,20200707,0.7150712268987072,,,1.985,1.985
000333.SZ,20200708,0.4153155923225223,,,1.985,1.985
000333.SZ,20200709,0.4553572970726301,,,1.985,1.985
000333.SZ,20200710,0.3985122876235843,,,1.985,1.985
000333.SZ,20200713,0.5025990807747847,,,1.985,1.985
000333.SZ,20200714,0.5603599667564124,,,1.985,1.985
000333.SZ,20200715,0.6393589739808033,,,1.985,1.985
000333.SZ,20200716,0.5407950909390111,,,1.985,1.985
000333.SZ,20200717,0.5280465162611123,,,1.985,1.985
000333.SZ,20200720,0.878955431289181,,,1.985,1.985
000333.SZ,20200721,0.4810341022665039,,,1.985,1.985
000333.SZ,20200722,0.44467325805709446,,,1.985,1.985
000333.SZ,20200723,0.7128283897308613,,,1.985,1.985
000333.SZ,20200724,0.5988372037122603,,,1.985,1.985
000333.SZ,20200727,0.3995057483272156,,,1.985,1.985
000333.SZ,20200728,0.3425474677911477,,,1.985,1.985
000333.SZ,20200729,0.6738807083330912,,,1.985,1.985
000333.SZ,20200730,0.2848501742310596,,,1.985,1.985
000333.SZ,20200731,0.4292397962374304,,,1.985,1.985
000333.SZ,20200803,0.5019567076308123,,,1.985,1.985
000333.SZ,20200804,0.42733310177820877,,,1.985,1.985
000333.SZ,20200805,0.2794350233084548,,,1.985,1.985
000333.SZ,20200806,0.31981426098958127,,,1.985,1.985
000333.SZ,20200807,0.37158681940513905,,,1.985,1.985
000333.SZ,20200810,0.3524487869996856,,,1.985,1.985
000333.SZ,20200811,0.3007277826008848,,,1.985,1.985
000333.SZ,20200812,0.4236294296328067,,,1.985,1.985
000333.SZ,20200813,0.19101766216240706,,,1.985,1.985
000333.SZ,20200814,0.23568778481394695,,,1.985,1.985
000333.SZ,20200817,0.35846876386507065,,,1.985,1.985
000333.SZ,20200818,0.2822086908186171,,,1.985,1.985
000333.SZ,20200819,0.3703132626622031,,,1.985,1.985
000333.SZ,20200820,0.32031396650027333,,,1.985,1.985
000333.SZ,20200821,0.18489272038315432,,,1.985,1.985
000333.SZ,20200824,0.25481571403574205,,,1.985,1.985
000333.SZ,20200825,0.2621830696039625,,,1.985,1.985
000333.SZ,20200826,0.3475467252129209,,,1.985,1.985
000333.SZ,20200827,0.5014044684893184,,,1.985,1.985
000333.SZ,20200828,0.47253398516777806,,,1.985,1.985
000333.SZ,20200831,0.3782232074425188,,,1.985,1.985
000333.SZ,20200901,0.3004295412980467,,,1.985,1.985
000333.SZ,20200902,0.2677241906545985,,,1.985,1.985
000333.SZ,20200903,0.4756373147357445,,,1.985,1.985
000333.SZ,20200904,0.5253885930910246,,,1.985,1.985
000333.SZ,20200907,0.6465839863942183,,,1.985,1.985
000333.SZ,20200908,0.38527987914741896,,,1.985,1.985
000333.SZ,20200909,0.4160314407519592,,,1.985,1.985
000333.SZ,20200910,0.30748437074369805,,,1.985,1.985
000333.SZ,20200911,0.31453903935719274,,,1.985,1.985
000333.SZ,20200914,0.3178521379207381,,,1.985,1.985
000333.SZ,20200915,0.42403517992180856,,,1.985,1.985
000333.SZ,20200916,0.4257862473378197,,,1.985,1.985
000333.SZ,20200917,0.4012539921251666,,,1.985,1.985
000333.SZ,20200918,0.31803066161461263,,,1.985,1.985
000333.SZ,20200921,0.24214048790733447,,,1.985,1.985
000333.SZ,20200922,0.2046476464570724,,,1.985,1.985
000333.SZ,20200923,0.2506721074574988,,,1.985,1.985
000333.SZ,20200924,0.2935298856413463,,,1.985,1.985
000333.SZ,20200925,0.17664507193720222,,,1.985,1.985
000333.SZ,20200928,0.2543154821652646,,,1.985,1.985
000333.SZ,20200929,0.34200751952705943,,,1.985,1.985
000333.SZ,20200930,0.3236185994439371,,,1.985,1.985
000333.SZ,20201009,0.36765499728798917,,,1.985,1.985
000333.SZ,20201012,0.3847070452405529,,,1.985,1.985
000333.SZ,20201013,0.37377390825002677,,,1.985,1.985
000333.SZ,20201014,0.2866181050746819,,,1.985,1.985
000333.SZ,20201015,0.2807386932319984,,,1.985,1.985
000333.SZ,20201016,0.2132347507084552,,,1.985,1.985
000333.SZ,20201019,0.2598146332493278,,,1.985,1.985
000333.SZ,20201020,0.22556340956741988,,,1.985,1.985
000333.SZ,20201021,0.31256458828844264,,,1.985,1.985
000333.SZ,20201022,0.22870251542064196,,,1.985,1.985
000333.SZ,20201023,0.2648432525647798,,,1.985,1.985
000333.SZ,20201026,0.24244434914311386,,,1.985,1.985
000333.SZ,20201027,0.2293156355043335,,,1.985,1.985
000333.SZ,20201028,0.2735865852026246,,,1.985,1.985
000333.SZ,20201029,0.552085364711006,,,1.985,1.985
000333.SZ,20201030,0.4799285573936992,,,1.985,1.985
000333.SZ,20201102,0.7631897584044779,,,1.985,1.985
000333.SZ,20201103,0.5137705472395957,,,1.985,1.985
000333.SZ,20201104,0.5693141472019471,,,1.985,1.985
000333.SZ,20201105,0.5205879644195847,,,1.985,1.985
000333.SZ,20201106,0.6839602230819801,,,1.985,1.985
000333.SZ,20201109,0.687978749125794,,,1.985,1.985
000333.SZ,20201110,0.5149522603573313,,,1.985,1.985
000333.SZ,20201111,0.4997496705197434,,,1.985,1.985
000333.SZ,20201112,0.4124464911397071,,,1.985,1.985
000333.SZ,20201113,0.31572507355539436,,,1.985,1.985
000333.SZ,20201116,0.5446771859592915,,,1.985,1.985
000333.SZ,20201117,0.42333441425047963,,,1.985,1.985
000333.SZ,20201118,0.33541694571423075,,,1.985,1.985
000333.SZ,20201119,0.6037613366652046,,,1.985,1.985
000333.SZ,20201120,0.6745642995494501,,,1.985,1.985
000333.SZ,20201123,0.6677068562490198,,,1.985,1.985
000333.SZ,20201124,0.5840520599392104,,,1.985,1.985
000333.SZ,20201125,0.4261198902794751,,,1.985,1.985
000333.SZ,20201126,0.694276835065097,,,1.985,1.985
000333.SZ,20201127,0.3366538682817754,,,1.985,1.985
000333.SZ,20201130,0.4373340869174804,,,1.985,1.985
000333.SZ,20201201,0.34622810460058645,,,1.985,1.985
000333.SZ,20201202,0.5349558218636998,,,1.985,1.985
000333.SZ,20201203,0.3734021139615035,,,1.985,1.985
000333.SZ,20201204,0.47818899209570703,,,1.985,1.985
000333.SZ,20201207,0.2956072352100882,,,1.985,1.985
000333.SZ,20201208,0.5361662357118285,,,1.985,1.985
000333.SZ,20201209,0.6738617454178942,,,1.985,1.985
000333.SZ,20201210,0.3697210114740924,,,1.985,1.985
000333.SZ,20201211,0.3288913582623216,,,1.985,1.985
000333.SZ,20201214,0.3835582415142862,,,1.985,1.985
000333.SZ,20201215,0.47949529911737915,,,1.985,1.985
000333.SZ,20201216,0.6035650493889118,,,1.985,1.985
000333.SZ,20201217,0.46245697315353185,,,1.985,1.985
000333.SZ,20201218,0.40154304859121703,,,1.985,1.985
000333.SZ,20201221,0.414566764904196,,,1.985,1.985
000333.SZ,20201222,0.45405977366237216,,,1.985,1.985
000333.SZ,20201223,0.570721622836914,,,1.985,1.985
000333.SZ,20201224,0.28902849879868847,,,1.985,1.985
000333.SZ,20201225,0.31721605019518084,,,1.985,1.985
000333.SZ,20201228,0.5769164358323841,,,1.985,1.985
000333.SZ,20201229,0.3164565330050344,,,1.985,1.985
000333.SZ,20201230,0.33851088152791875,,,1.985,1.985
000333.SZ,20201231,0.39238690169150414,,,1.985,1.985
