trade_date,factor,ic,rank_ic
2020-09-30,factor_reversal_5d,-0.05112061817383816,-0.16608078939253776
2020-10-09,factor_reversal_5d,-0.13134875595930817,-0.3509713228492137
2020-10-12,factor_reversal_5d,-0.11702931516701588,-0.2097440641381437
2020-10-13,factor_reversal_5d,0.006604727096603369,-0.0891150169596053
2020-10-14,factor_reversal_5d,-0.07284992828457837,-0.1341238471673254
2020-10-15,factor_reversal_5d,-0.19923113875869858,-0.16469038208168643
2020-10-16,factor_reversal_5d,0.0014838520363780194,-0.03346508563899868
2020-10-19,factor_reversal_5d,-0.09703694962945021,-0.15085638998682477
2020-10-20,factor_reversal_5d,-0.40452799749367485,-0.44769433465085634
2020-10-21,factor_reversal_5d,-0.28457991127500243,-0.31488801054018445
2020-10-22,factor_reversal_5d,-0.42201774709399986,-0.3751464693185322
2020-10-23,factor_reversal_5d,-0.2974928229483621,-0.2862164662349676
2020-10-26,factor_reversal_5d,-0.14097352239129307,-0.3342687102640801
2020-10-27,factor_reversal_5d,0.18146876096362058,-0.02917052112241751
2020-10-28,factor_reversal_5d,0.2927034922405195,0.12618335446500148
2020-10-29,factor_reversal_5d,0.3185656948638578,0.18249098038217956
2020-10-30,factor_reversal_5d,0.25152231255521773,0.18717237126117792
2020-11-02,factor_reversal_5d,-0.002672109211475489,0.1711378353376503
2020-11-03,factor_reversal_5d,-0.2139798922413724,-0.08775824853530681
2020-11-04,factor_reversal_5d,-0.11739240919431446,-0.03657107616404564
2020-11-05,factor_reversal_5d,0.028147189074649012,-0.087018193031144
2020-11-06,factor_reversal_5d,0.19162981347178096,0.2199814986123959
2020-11-09,factor_reversal_5d,0.369002810102741,0.3515880357693494
2020-11-10,factor_reversal_5d,0.3854295449242444,0.41375269811902565
2020-11-11,factor_reversal_5d,0.29646825591484316,0.15312981806968853
2020-11-12,factor_reversal_5d,0.23762337205576878,0.07887758248535306
2020-11-13,factor_reversal_5d,0.08699264431381787,-0.00746222633364169
2020-11-16,factor_reversal_5d,-0.039377494490657444,-0.15671158538395344
2020-11-17,factor_reversal_5d,0.04263498547620789,0.18125192722787545
2020-11-18,factor_reversal_5d,0.16363098980653168,0.11674375578168363
2020-11-19,factor_reversal_5d,0.08953313144883841,0.21776133209990747
2020-11-20,factor_reversal_5d,-0.018453867758469633,0.011532531606537158
2020-11-23,factor_reversal_5d,0.06089484796897242,0.20012334258402711
2020-11-24,factor_reversal_5d,0.14741179809522256,0.11082331174838113
2020-11-25,factor_reversal_5d,0.00046420649758420474,-0.024730188097440643
2020-11-26,factor_reversal_5d,0.018349709479129298,0.005365402405180388
2020-11-27,factor_reversal_5d,0.11184690688660408,0.13351834720937403
2020-11-30,factor_reversal_5d,0.20493285467599287,0.16708814041889997
2020-12-01,factor_reversal_5d,0.2518000957696223,0.17638533419838914
2020-12-02,factor_reversal_5d,0.1745108935819721,0.1448658649398705
2020-12-03,factor_reversal_5d,0.160741416983304,0.25735430157261796
2020-12-04,factor_reversal_5d,-0.05990908992658814,-0.005118875083379826
2020-12-07,factor_reversal_5d,-0.3201783553773255,-0.31076164045636756
2020-12-08,factor_reversal_5d,-0.46686817583971973,-0.38329889931573025
2020-12-09,factor_reversal_5d,-0.38148603529299774,-0.25242059821153257
2020-12-10,factor_reversal_5d,-0.42483722892198705,-0.31939562133826704
2020-12-11,factor_reversal_5d,-0.21128769438463404,-0.20690718470551955
2020-12-14,factor_reversal_5d,-0.06395609766829162,-0.03503037406457519
2020-12-15,factor_reversal_5d,-0.20409729199421814,-0.23090443749607306
2020-12-16,factor_reversal_5d,-0.1417116978466723,-0.20148011100832564
2020-12-17,factor_reversal_5d,0.0417492721706732,-0.017085055332608082
2020-12-18,factor_reversal_5d,0.12886709945590907,0.0975023126734505
2020-12-21,factor_reversal_5d,0.2929351726403583,0.2934936786925686
2020-12-22,factor_reversal_5d,0.2165008533247994,0.1969164353993216
2020-12-23,factor_reversal_5d,0.172938651009149,0.22121492445266727
2020-12-24,factor_reversal_5d,0.061180685068000625,0.01227258711069997
2020-12-25,factor_reversal_5d,0.016560455628136253,0.005488744989207524
2020-12-28,factor_reversal_5d,0.022391985257714048,0.07197039777983348
2020-12-29,factor_reversal_5d,0.07450019078124215,0.09084181313598519
2020-12-30,factor_reversal_5d,-0.11978712019027374,-0.22597058199402026
2020-12-31,factor_reversal_5d,-0.16209062093323784,-0.17989515880357693
2021-01-04,factor_reversal_5d,-0.08610423379966739,-0.11255010792476103
2021-01-05,factor_reversal_5d,-0.0735959920697731,-0.087018193031144
2021-01-06,factor_reversal_5d,-0.11514607420529646,-0.16713435513204006
2021-01-07,factor_reversal_5d,0.0010604814739196625,-0.030280604378661733
2021-01-08,factor_reversal_5d,-0.09929724565650618,-0.18840579710144925
2021-01-11,factor_reversal_5d,-0.1821843314345503,-0.2664816527906259
2021-01-12,factor_reversal_5d,-0.051590491176640996,-0.11538698735738515
2021-01-13,factor_reversal_5d,-0.013062606907158693,-0.0011717545482577859
2021-01-14,factor_reversal_5d,0.01845699027734986,0.06617329633055812
2021-01-15,factor_reversal_5d,-0.15482751403076878,-0.061239592969472706
2021-01-18,factor_reversal_5d,-0.1540629711274273,-0.10453283996299723
2021-01-19,factor_reversal_5d,-0.0983152502386948,-0.01806968855997533
2021-01-20,factor_reversal_5d,-0.16226179944071703,-0.17607153869873574
2021-01-21,factor_reversal_5d,-0.28319552781235535,-0.23983965464076473
2021-01-22,factor_reversal_5d,0.027909226739892774,0.10847980265186553
2021-01-25,factor_reversal_5d,0.13234407600682146,0.17804502004316988
2021-01-26,factor_reversal_5d,0.1449253185697016,0.17545482577860003
2021-01-27,factor_reversal_5d,0.026021437648032636,0.03965464076472402
2021-01-28,factor_reversal_5d,0.13765771111027292,0.15004625346901015
2021-01-29,factor_reversal_5d,0.2618824284583269,0.3296330558125193
2021-02-01,factor_reversal_5d,0.06719259797363877,-0.023496762257169287
2021-02-02,factor_reversal_5d,0.3754840008172896,0.43533765032377425
2021-02-03,factor_reversal_5d,0.45315215033511036,0.5279679309281529
2021-02-04,factor_reversal_5d,0.4287338772274868,0.49293863706444646
2021-02-05,factor_reversal_5d,0.4444277066229895,0.48393462843046564
2021-02-08,factor_reversal_5d,0.536618272821113,0.5390687634905951
2021-02-09,factor_reversal_5d,0.3700144164370167,0.39734813444341655
2021-02-10,factor_reversal_5d,0.3447946701802849,0.4178230033919211
2021-02-18,factor_reversal_5d,-0.19761045228044552,-0.05581251927227875
2021-02-19,factor_reversal_5d,-0.3761494266580587,-0.299290780141844
2021-02-22,factor_reversal_5d,-0.3984059217018963,-0.43102065988282445
2021-02-23,factor_reversal_5d,-0.22042014621149578,-0.25032377428307123
2021-02-24,factor_reversal_5d,-0.3253375930367716,-0.4099290780141844
2021-02-25,factor_reversal_5d,-0.11021278855734548,-0.1413702239789196
2021-02-26,factor_reversal_5d,0.02380577049875096,-0.003162055335968379
2021-03-01,factor_reversal_5d,0.12026714964451446,0.07431390687634905
2021-03-02,factor_reversal_5d,0.23548990925827246,0.24761023743447427
