model,year,g1_return,g2_return,g3_return,g4_return,g5_return,g5_g1,monotonic_score
composite_ic_weight_neutral,2023,-0.0034834379912988605,-0.0118949904379602,-0.012831056712703473,-0.0048143590328359066,0.0013527427126019567,0.004836180703900817,0.5
composite_pca,2020,0.022438473023005404,0.03672292272299419,0.026879153263607177,0.030026165879511676,0.023347456753386696,0.0009089837303812923,0.5
composite_pca,2021,0.0013864281810258095,-0.0033195409253412257,0.004990138051246893,0.0009595924796446252,-0.006316847762096829,-0.007703275943122638,0.25
composite_pca,2022,-0.009479762482093916,0.003960423686703841,-0.00585508206637327,-0.010122964350830784,-0.01484764076804094,-0.005367878285947024,0.25
composite_pca,2023,-0.003393674232848802,-0.009642729584226574,-0.01147973454806115,-0.006368028443698875,-0.0009315345652658726,0.0024621396675829294,0.5
composite_pca_size_neutral,2020,0.021677433751784693,0.03262847105937899,0.03177083770312237,0.028867457950001205,0.024507832574522975,0.0028303988227382816,0.25
composite_pca_size_neutral,2021,0.001203185410211088,-0.009487424212708102,-0.008455714659399807,0.008723221949134531,0.005736208840247725,0.004533023430036637,0.5
composite_pca_size_neutral,2022,-0.008468581160548598,-0.004395809896938654,-0.00801608715301065,-0.006542313514010413,-0.00909861445345012,-0.0006300332929015228,0.5
composite_pca_size_neutral,2023,-0.004610478789474566,-0.011867048592521452,-0.0097859778167476,-0.006360219375502154,0.00098248214413366,0.0055929609336082264,0.75
composite_pca_industry_size_neutral,2020,0.02042550114176837,0.035637017136973315,0.025162706267339446,0.029951673889549592,0.02839918352551225,0.00797368238374388,0.5
composite_pca_industry_size_neutral,2021,-0.0021342527756305955,-0.005740842303258877,-0.004301460529514664,0.00471391768408508,0.005514125534684159,0.007648378310314754,0.75
composite_pca_industry_size_neutral,2022,-0.011360991047392001,-0.0030177081908047605,-0.007921804938466575,-0.006836210240196448,-0.00724141215243692,0.004119578894955081,0.5
composite_pca_industry_size_neutral,2023,-0.0016587397613870018,-0.013736689100983879,-0.010966807474727483,-0.005497953599243391,-0.00011210904373184548,0.0015466307176551564,0.75
composite_pca_neutral,2020,0.021677433751784693,0.03262847105937899,0.03177083770312237,0.028867457950001205,0.024507832574522975,0.0028303988227382816,0.25
