trade_date,window,factor,weight
2021-08-13,120,factor_momentum,0.23549617766806105
2021-08-16,120,factor_momentum,0.24577501936155155
2021-08-17,120,factor_momentum,0.2509406143597304
2021-08-18,120,factor_momentum,0.2590395618271449
2021-08-19,120,factor_momentum,0.264645237899355
2021-08-20,120,factor_momentum,0.2685649404041519
2021-08-23,120,factor_momentum,0.2660412855154052
2021-08-24,120,factor_momentum,0.26366026822649063
2021-08-25,120,factor_momentum,0.2654190506225522
2021-08-26,120,factor_momentum,0.2676419563539514
2021-08-27,120,factor_momentum,0.26776635034077173
2021-08-30,120,factor_momentum,0.2679869763112789
2021-08-31,120,factor_momentum,0.2660950832563107
2021-09-01,120,factor_momentum,0.26306626665584515
2021-09-02,120,factor_momentum,0.25908475156977095
2021-09-03,120,factor_momentum,0.2524185297991329
2021-09-06,120,factor_momentum,0.24973235567613283
2021-09-07,120,factor_momentum,0.24643676177938853
2021-09-08,120,factor_momentum,0.2371207676258008
2021-09-09,120,factor_momentum,0.2280013547588942
2021-09-10,120,factor_momentum,0.21866783096985465
2021-09-13,120,factor_momentum,0.2109245276696424
2021-09-14,120,factor_momentum,0.2023600427791216
2021-09-15,120,factor_momentum,0.19434266264871686
2021-09-16,120,factor_momentum,0.1805185295263552
2021-09-17,120,factor_momentum,0.16637894955531082
2021-09-22,120,factor_momentum,0.1542079589504544
2021-09-23,120,factor_momentum,0.1386366676729696
2021-09-24,120,factor_momentum,0.12062293073824473
2021-09-27,120,factor_momentum,0.10711143616696825
2021-09-28,120,factor_momentum,0.10140134189612193
2021-09-29,120,factor_momentum,0.09676594966209634
2021-09-30,120,factor_momentum,0.08954390313331899
2021-10-08,120,factor_momentum,0.0819996907717204
2021-10-11,120,factor_momentum,0.07673919699203871
2021-10-12,120,factor_momentum,0.07492126769979301
2021-10-13,120,factor_momentum,0.07336521191159805
2021-10-14,120,factor_momentum,0.07450853697333627
2021-10-15,120,factor_momentum,0.0784641877444767
2021-10-18,120,factor_momentum,0.0818108747083466
2021-10-19,120,factor_momentum,0.08629182976460412
2021-10-20,120,factor_momentum,0.09425811989142584
2021-10-21,120,factor_momentum,0.10387817819620526
2021-10-22,120,factor_momentum,0.11147911366015562
2021-10-25,120,factor_momentum,0.11754832125327443
2021-10-26,120,factor_momentum,0.1266759562448554
2021-10-27,120,factor_momentum,0.13865973877262514
2021-10-28,120,factor_momentum,0.15151970446865015
2021-10-29,120,factor_momentum,0.16135016231993277
2021-11-01,120,factor_momentum,0.16529455995824224
2021-11-02,120,factor_momentum,0.17365121236893086
2021-11-03,120,factor_momentum,0.17761843663309868
2021-11-04,120,factor_momentum,0.17865603509820044
2021-11-05,120,factor_momentum,0.17745889262243322
2021-11-08,120,factor_momentum,0.17803801855808515
2021-11-09,120,factor_momentum,0.1781653036640482
2021-11-10,120,factor_momentum,0.1725092093853851
2021-11-11,120,factor_momentum,0.1683418298711634
2021-11-12,120,factor_momentum,0.16509726095794366
2021-11-15,120,factor_momentum,0.16435017115232656
2021-11-16,120,factor_momentum,0.16155911186848199
2021-11-17,120,factor_momentum,0.15916358570908293
2021-11-18,120,factor_momentum,0.15659157994225148
2021-11-19,120,factor_momentum,0.14365859362511532
2021-11-22,120,factor_momentum,0.13840101794232101
2021-11-23,120,factor_momentum,0.13030693347159034
2021-11-24,120,factor_momentum,0.12394979636322746
2021-11-25,120,factor_momentum,0.12170442340713407
2021-11-26,120,factor_momentum,0.1202559195706704
2021-11-29,120,factor_momentum,0.11191290945900947
2021-11-30,120,factor_momentum,0.1070639110632698
2021-12-01,120,factor_momentum,0.10826473443224881
2021-12-02,120,factor_momentum,0.10956891771364026
2021-12-03,120,factor_momentum,0.1156407666455754
2021-12-06,120,factor_momentum,0.11133490047353732
2021-12-07,120,factor_momentum,0.10169847489982263
2021-12-08,120,factor_momentum,0.09697465507858061
2021-12-09,120,factor_momentum,0.08021144530699996
2021-12-10,120,factor_momentum,0.06337943577295856
2021-12-13,120,factor_momentum,0.053239990222603756
2021-12-14,120,factor_momentum,0.041380790315390534
2021-12-15,120,factor_momentum,0.016212133424883732
2021-12-16,120,factor_momentum,0.0
2021-12-17,120,factor_momentum,0.0
2021-12-20,120,factor_momentum,0.0
2021-12-21,120,factor_momentum,0.0
2021-12-22,120,factor_momentum,0.0
2021-12-23,120,factor_momentum,0.0
2021-12-24,120,factor_momentum,0.0
2021-12-27,120,factor_momentum,0.0
2021-12-28,120,factor_momentum,0.0
2021-12-29,120,factor_momentum,0.0
2021-12-30,120,factor_momentum,0.0
2021-12-31,120,factor_momentum,0.0
2022-01-04,120,factor_momentum,0.0
2022-01-05,120,factor_momentum,0.0
2022-01-06,120,factor_momentum,0.0
2022-01-07,120,factor_momentum,0.0
2022-01-10,120,factor_momentum,0.0
2022-01-11,120,factor_momentum,0.0
2022-01-12,120,factor_momentum,0.0
2022-01-13,120,factor_momentum,0.0
2022-01-14,120,factor_momentum,0.0
2022-01-17,120,factor_momentum,0.0
2022-01-18,120,factor_momentum,0.0
2022-01-19,120,factor_momentum,0.0
2022-01-20,120,factor_momentum,0.0
2022-01-21,120,factor_momentum,0.0
2022-01-24,120,factor_momentum,0.0
2022-01-25,120,factor_momentum,0.0
2022-01-26,120,factor_momentum,0.0
2022-01-27,120,factor_momentum,0.0
2022-01-28,120,factor_momentum,0.0
2022-02-07,120,factor_momentum,0.0
2022-02-08,120,factor_momentum,0.0
2022-02-09,120,factor_momentum,0.0
2022-02-10,120,factor_momentum,0.0
2022-02-11,120,factor_momentum,0.0
2022-02-14,120,factor_momentum,0.0
2022-02-15,120,factor_momentum,0.0
2022-02-16,120,factor_momentum,0.0
2022-02-17,120,factor_momentum,0.0
2022-02-18,120,factor_momentum,0.0
2022-02-21,120,factor_momentum,0.0
2022-02-22,120,factor_momentum,0.0
2022-02-23,120,factor_momentum,0.0
2022-02-24,120,factor_momentum,0.0
2022-02-25,120,factor_momentum,0.0
2022-02-28,120,factor_momentum,0.0
2022-03-01,120,factor_momentum,0.0
2022-03-02,120,factor_momentum,0.0
2022-03-03,120,factor_momentum,0.0
2022-03-04,120,factor_momentum,0.0
2022-03-07,120,factor_momentum,0.0
2022-03-08,120,factor_momentum,0.0
2022-03-09,120,factor_momentum,0.0
2022-03-10,120,factor_momentum,0.0
2022-03-11,120,factor_momentum,0.0
2022-03-14,120,factor_momentum,0.0
2022-03-15,120,factor_momentum,0.0
2022-03-16,120,factor_momentum,0.0
2022-03-17,120,factor_momentum,0.0
2022-03-18,120,factor_momentum,0.0
2022-03-21,120,factor_momentum,0.0
2022-03-22,120,factor_momentum,0.0
2022-03-23,120,factor_momentum,0.0
2022-03-24,120,factor_momentum,0.0
2022-03-25,120,factor_momentum,0.0
2022-03-28,120,factor_momentum,0.0
2022-03-29,120,factor_momentum,0.0
2022-03-30,120,factor_momentum,0.0
2022-03-31,120,factor_momentum,0.0
2022-04-01,120,factor_momentum,0.0
2022-04-06,120,factor_momentum,0.0
2022-04-07,120,factor_momentum,0.0
2022-04-08,120,factor_momentum,0.0
2022-04-11,120,factor_momentum,0.0
2022-04-12,120,factor_momentum,0.0
2022-04-13,120,factor_momentum,0.0
2022-04-14,120,factor_momentum,0.0
2022-04-15,120,factor_momentum,0.0
2022-04-18,120,factor_momentum,0.0
2022-04-19,120,factor_momentum,0.0
2022-04-20,120,factor_momentum,0.0
2022-04-21,120,factor_momentum,0.0
2022-04-22,120,factor_momentum,0.0
2022-04-25,120,factor_momentum,0.0
2022-04-26,120,factor_momentum,0.0
2022-04-27,120,factor_momentum,0.0
2022-04-28,120,factor_momentum,0.0
2022-04-29,120,factor_momentum,0.0
2022-05-05,120,factor_momentum,0.0
2022-05-06,120,factor_momentum,0.0
2022-05-09,120,factor_momentum,0.0
2022-05-10,120,factor_momentum,0.0
2022-05-11,120,factor_momentum,0.0
2022-05-12,120,factor_momentum,0.0
2022-05-13,120,factor_momentum,0.0
2022-05-16,120,factor_momentum,0.0
2022-05-17,120,factor_momentum,0.0
2022-05-18,120,factor_momentum,0.0
2022-05-19,120,factor_momentum,0.0
2022-05-20,120,factor_momentum,0.0
2022-05-23,120,factor_momentum,0.0
2022-05-24,120,factor_momentum,0.0
2022-05-25,120,factor_momentum,0.0
2022-05-26,120,factor_momentum,0.0
2022-05-27,120,factor_momentum,0.0
2022-05-30,120,factor_momentum,0.0
2022-05-31,120,factor_momentum,0.0
2022-06-01,120,factor_momentum,0.0
2022-06-02,120,factor_momentum,0.0
2022-06-06,120,factor_momentum,0.0
2022-06-07,120,factor_momentum,0.0
2022-06-08,120,factor_momentum,0.0
2022-06-09,120,factor_momentum,0.0
2022-06-10,120,factor_momentum,0.0
2022-06-13,120,factor_momentum,0.0
2022-06-14,120,factor_momentum,0.0
2022-06-15,120,factor_momentum,0.0
2022-06-16,120,factor_momentum,0.0
2022-06-17,120,factor_momentum,0.0
2022-06-20,120,factor_momentum,0.0
2022-06-21,120,factor_momentum,0.0
2022-06-22,120,factor_momentum,0.0
2022-06-23,120,factor_momentum,0.0
2022-06-24,120,factor_momentum,0.0
2022-06-27,120,factor_momentum,0.0
2022-06-28,120,factor_momentum,0.0
2022-06-29,120,factor_momentum,0.0
2022-06-30,120,factor_momentum,0.0
2022-07-01,120,factor_momentum,0.0
2022-07-04,120,factor_momentum,0.0
2022-07-05,120,factor_momentum,0.0
2022-07-06,120,factor_momentum,0.0
2022-07-07,120,factor_momentum,0.0
2022-07-08,120,factor_momentum,0.0
2022-07-11,120,factor_momentum,0.0
2022-07-12,120,factor_momentum,0.0
2022-07-13,120,factor_momentum,0.0
2022-07-14,120,factor_momentum,0.0
2022-07-15,120,factor_momentum,0.0
2022-07-18,120,factor_momentum,0.0
2022-07-19,120,factor_momentum,0.0
2022-07-20,120,factor_momentum,0.0
